 Name                        Version      License
 asttokens                   3.0.0        Apache 2.0
 coverage                    7.6.10       Apache Software License
 gcastle                     1.0.3        Apache Software License
 ghp-import                  2.1.0        Apache Software License
 importlib_metadata          8.6.1        Apache Software License
 importlib_resources         6.5.2        Apache Software License
 pyspark                     3.5.4        Apache Software License
 regex                       2024.11.6    Apache Software License
 requests                    2.32.3       Apache Software License
 tornado                     6.4.2        Apache Software License
 tzdata                      2025.1       Apache Software License
 wadler_lindig               0.1.3        Apache Software License
 watchdog                    6.0.0        Apache Software License
 xgboost                     2.1.3        Apache Software License
 packaging                   24.2         Apache Software License; BSD License
 python-dateutil             2.9.0.post0  Apache Software License; BSD License
 verspec                     0.1.0        Apache Software License; BSD License
 uv                          0.5.26       Apache Software License; MIT License
 llvmlite                    0.43.0       BSD
 Jinja2                      3.1.5        BSD License
 Markdown                    3.7          BSD License
 MarkupSafe                  3.0.2        BSD License
 Pygments                    2.19.1       BSD License
 babel                       2.17.0       BSD License
 click                       8.1.8        BSD License
 colorama                    0.4.6        BSD License
 comm                        0.2.2        BSD License
 contourpy                   1.3.1        BSD License
 cycler                      0.12.1       BSD License
 decorator                   5.1.1        BSD License
 fsspec                      2025.2.0     BSD License
 idna                        3.10         BSD License
 ipykernel                   6.29.5       BSD License
 ipython                     8.32.0       BSD License
 joblib                      1.4.2        BSD License
 jupyter_client              8.6.3        BSD License
 jupyter_core                5.7.2        BSD License
 kiwisolver                  1.4.8        BSD License
 matplotlib-inline           0.1.7        BSD License
 mike                        2.1.3        BSD License
 mkdocs                      1.6.1        BSD License
 mpmath                      1.3.0        BSD License
 nest-asyncio                1.6.0        BSD License
 networkx                    3.4.2        BSD License
 nodeenv                     1.9.1        BSD License
 numba                       0.60.0       BSD License
 numpy                       1.26.4       BSD License
 pandas                      2.2.3        BSD License
 patsy                       1.0.1        BSD License
 pip-tools                   7.4.1        BSD License
 prompt_toolkit              3.0.50       BSD License
 psutil                      6.1.1        BSD License
 py4j                        0.10.9.7     BSD License
 pyzmq                       26.2.1       BSD License
 scikit-learn                1.6.1        BSD License
 scikit-misc                 0.5.1        BSD License
 scipy                       1.15.1       BSD License
 seaborn                     0.13.2       BSD License
 statsmodels                 0.14.4       BSD License
 sympy                       1.13.1       BSD License
 threadpoolctl               3.5.0        BSD License
 torch                       2.6.0        BSD License
 traitlets                   5.14.3       BSD License
 pillow                      11.1.0       CMU License (MIT-CMU)
 griffe                      1.5.6        ISC
 mkdocstrings                0.27.0       ISC
 mkdocstrings-python         1.13.0       ISC
 mkdocs-autorefs             1.3.0        ISC License (ISCL)
 pexpect                     4.9.0        ISC License (ISCL)
 ptyprocess                  0.7.0        ISC License (ISCL)
 gpytorch                    1.14         MIT
 linear-operator             0.6          MIT
 PyYAML                      6.0.2        MIT License
 build                       1.2.2.post1  MIT License
 causal-learn                0.1.4.0      MIT License
 cfgv                        3.4.0        MIT License
 charset-normalizer          3.4.1        MIT License
 dcor                        0.6          MIT License
 debugpy                     1.8.12       MIT License
 exceptiongroup              1.2.2        MIT License
 executing                   2.2.0        MIT License
 fonttools                   4.55.8       MIT License
 graphviz                    0.20.3       MIT License
 identify                    2.6.6        MIT License
 iniconfig                   2.0.0        MIT License
 jaxtyping                   0.2.37       MIT License
 jedi                        0.19.2       MIT License
 mergedeep                   1.3.4        MIT License
 mkdocs-get-deps             0.2.0        MIT License
 mkdocs-material             9.6.1        MIT License
 mkdocs-material-extensions  1.3.1        MIT License
 momentchi2                  0.1.8        MIT License
 narwhals                    1.24.2       MIT License
 paginate                    0.5.7        MIT License
 parso                       0.8.4        MIT License
 platformdirs                4.3.6        MIT License
 plotly                      6.0.0        MIT License
 pluggy                      1.5.0        MIT License
 pre_commit                  4.1.0        MIT License
 pure_eval                   0.2.3        MIT License
 pydot                       3.0.4        MIT License
 pymdown-extensions          10.14.3      MIT License
 pyparsing                   3.2.1        MIT License
 pyproject_hooks             1.2.0        MIT License
 pytest                      8.3.4        MIT License
 pytest-cov                  6.0.0        MIT License
 pytz                        2025.1       MIT License
 pyyaml_env_tag              0.1          MIT License
 ruff                        0.9.4        MIT License
 six                         1.17.0       MIT License
 stack-data                  0.6.3        MIT License
 triton                      3.2.0        MIT License
 urllib3                     2.3.0        MIT License
 virtualenv                  20.29.1      MIT License
 zipp                        3.21.0       MIT License
 tqdm                        4.67.1       MIT License; Mozilla Public License 2.0 (MPL 2.0)
 gadjid                      0.1.0        MPL-2.0
 nvidia-cusparselt-cu12      0.6.2        NVIDIA Proprietary Software
 nvidia-cublas-cu12          12.4.5.8     Other/Proprietary License
 nvidia-cuda-cupti-cu12      12.4.127     Other/Proprietary License
 nvidia-cuda-nvrtc-cu12      12.4.127     Other/Proprietary License
 nvidia-cuda-runtime-cu12    12.4.127     Other/Proprietary License
 nvidia-cudnn-cu12           9.1.0.70     Other/Proprietary License
 nvidia-cufft-cu12           11.2.1.3     Other/Proprietary License
 nvidia-curand-cu12          10.3.5.147   Other/Proprietary License
 nvidia-cusolver-cu12        11.6.1.9     Other/Proprietary License
 nvidia-cusparse-cu12        12.3.1.170   Other/Proprietary License
 nvidia-nccl-cu12            2.21.5       Other/Proprietary License
 nvidia-nvjitlink-cu12       12.4.127     Other/Proprietary License
 nvidia-nvtx-cu12            12.4.127     Other/Proprietary License
 distlib                     0.3.9        Python Software Foundation License
 matplotlib                  3.10.0       Python Software Foundation License
 typing_extensions           4.12.2       Python Software Foundation License
 filelock                    3.17.0       The Unlicense (Unlicense)
